,org,n_citation
0,"Professor of Computer Science and Linguistics, Stanford University",239366
1,Ceridian HCM Inc.,199603
2,you.com,170852
3,Data Scientist at Pangea Formazione Srl,157802
4,"Senior Researcher, CIIRC CTU",156666
5,Microsoft Corp,122240
6,Meta,118678
7,Google DeepMind,117385
8,Google DeepMind,111194
9,Google Deepmind,106332
10,"Leonard Kleinrock Professor in Computer Science, UCLA",104795
11,Spectrum Labs,104035
12,"Distinguished Professor of Computer Science, University of Massachusetts Amherst",101750
13,"Research Scientist, Google",100601
14,"Distinguished Professor, University of Illinois at Chicago",98299
15,University of Washington; Meta,92268
16,DataRobot,91684
17,OpenAI,89740
18,Google Inc.,86925
19,Mathematica Policy Research,76222
